Место, где смыкается|смычка
Птица из отряда воробьиных; трясогузка|плиска
Крестьянин, вышедший из общины на отруба, владеющий отрубом|отрубник
Проход, оставленный в плотине до полного перекрытия реки|проран
Бог посевов, покровитель земледелия (в древнеримской мифологии)|сатурн
Большое количество, масса|груда
Отрасль промышленности, производящая моторы|моторостроение
Движение грузов по путям сообщения за определенный период времени|грузопоток
Религиозная система ислама|исламизм
Направление, перпендикулярное курсу судна, самолета|траверз
Травоядное млекопитающее с сильно развитыми передними зубами|грызун
Старинная кавказская шашка|гурда
Собрание, на котором заслушивается цикл докладов|чтения
Молодой, отходящий от пня, корня, корневища, побег растения|отпрыск
Короткие санки, привязываемые к саням при перевозке громоздких грузов|подсанки
Ряд поколений, происходящих от одного предка|род
Первая стадия развития растения, которая проходит при низких температурах|яровизация
Болезнь табака и махорки, выражающаяся в образовании на листьях многочисленных бледно-желтых пятен, приводящих к появлению дырок на листьях|рябуха
Сооружение, имеющее в плане восьмиугольник или часть его с четырехугольным основанием (в русской и украинской архитектуре преимущественно XVII-XVIII вв.)|восьмерик
Доска, брус и т.п., на одной кромке которых сделан продольный гребень, а на противоположной кромке - паз (в столярном деле)|шпунтина
Один из видов русской народной миниатюрной живописи яркой темперой и золотом на черных лаковых изделиях из папье-маше|палех
Алгебраическое выражение, представляющее собою сумму или разность двух одночленов (в математике); бином|двучлен
Один из благородных металлов желтого цвета, отличающийся мягкостью и пластичностью|золото
Ребенок неизвестных родителей, подкинутый чужим людям|подкидыш
Книга для первоначального обучения грамоте|букварь
Высушенный млечный сок незрелых семенных коробочек мака, употребляемый как наркотик, вызывающий галлюцинации, а в медицине - как болеутоляющее и снотворное средство|опиум
Небольшая трещинка в древесине хвойных пород, заполненная смолой|серница
Белковое вещество, образующееся при свертывании молока и применяемое в пищевой промышленности, медицине, для производства красок, клеев, пластмасс и т.п|казеин
Ребенок, дитя|детище
Герметически закрывающееся - обычно круглое - окно на корабле, в самолете и т.п|иллюминатор
Растения, поселяющиеся на других растениях, но в отличие от паразитов получающие питательные вещества из окружающей среды (в ботанике)|эпифиты
Обозначение служебного положения по табели о рангах; чин|звание
Категорическое приказание, требование|повеление
Мотор, приводимый в действие газом|газомотор
Награждение за мелкие услуги (обычно денежное)|чаевые
Органическое соединение, представляющее собою насыщенный углеводород; применяется как бытовое топливо и в двигателях внутреннего сгорания|пропан
Смешение двух или нескольких событий при их описании|контаминация
Протяженность по вертикали снизу вверх; высота|вышина
Реакция кожи человека на различные внешние и внутренние раздражители, характеризующееся зудом и появлением сыпи, пузырьков, струпьев|экзема
Верхняя женская одежда в виде широкой длинной накидки с пелериной и прорезями для рук или небольшими рукавчиками, теперь вышедшая из употребления|салоп
Род скобеля|скобелка
Ограждение, состоящее из балясин|балясник
Краткая характеристика книги, статьи, рукописи, раскрывающая ее содержание, назначение и т.п|аннотация
Инструмент для научных измерений роста и размера иных частей человеческого тела|антропометр
